speed,humidity,temperature,pressure,direction,date,weather_condition
2.1,70.82,27.55,1011.55,N,2020-01-01,unknown
2.0,72.25,27.5,1012.92,Unknown,2020-01-02,unknown
2.2,74.17,27.58,1012.08,Unknown,2020-01-03,unknown
2.45,76.75,27.42,1010.67,N,2020-01-04,unknown
2.33,72.67,28.22,1010.0,N,2020-01-05,unknown
2.0,70.5,27.5,1011.17,N,2020-01-06,unknown
2.55,68.5,28.33,1011.08,Unknown,2020-01-07,partly cloudy
2.4,75.8,27.2,1010.9,WN,2020-01-08,unknown
2.45,79.42,27.58,1011.08,N,2020-01-09,unknown
1.92,78.25,27.17,1010.75,N,2020-01-10,unknown
2.58,78.08,26.75,1011.5,E,2020-01-11,unknown
2.58,77.83,26.25,1011.0,E,2020-01-12,unknown
2.18,79.58,25.92,1010.67,N,2020-01-13,unknown
2.42,76.5,26.5,1009.92,N,2020-01-14,unknown
2.18,76.83,26.83,1010.17,Unknown,2020-01-15,unknown
2.25,80.08,26.67,1010.42,N,2020-01-16,raining
2.5,73.0,27.33,1010.67,Unknown,2020-01-17,unknown
2.36,73.83,27.0,1010.25,Unknown,2020-01-18,unknown
2.33,69.25,28.08,1010.67,W,2020-01-19,partly cloudy
2.36,71.92,27.92,1011.5,SW,2020-01-20,unknown
2.42,70.67,28.25,1011.92,N,2020-01-21,unknown
2.5,67.08,28.33,1011.83,S,2020-01-22,partly cloudy
2.42,65.75,28.08,1010.75,WN,2020-01-23,partly cloudy
2.45,69.08,27.83,1011.17,N,2020-01-24,partly cloudy
2.58,67.08,27.42,1011.5,WN,2020-01-25,partly cloudy
2.42,65.25,26.92,1011.17,N,2020-01-26,partly cloudy
2.33,66.5,26.83,1011.25,W,2020-01-27,partly cloudy
2.82,65.58,27.25,1011.42,N,2020-01-28,partly cloudy
2.0,69.7,27.1,1012.4,N,2020-01-29,partly cloudy
2.58,69.75,27.42,1011.5,W,2020-01-30,partly cloudy
2.73,71.09,27.09,1010.09,N,2020-01-31,unknown
3.0,67.33,28.0,1010.67,Unknown,2020-02-01,partly cloudy
3.09,69.67,27.33,1012.08,N,2020-02-02,partly cloudy
2.67,68.58,27.25,1012.42,N,2020-02-03,partly cloudy
2.73,69.67,27.0,1011.0,N,2020-02-04,partly cloudy
2.27,68.67,27.42,1011.25,WN,2020-02-05,partly cloudy
2.55,67.75,27.5,1011.58,Unknown,2020-02-06,partly cloudy
2.5,71.0,26.92,1012.33,WN,2020-02-07,unknown
2.75,69.5,26.67,1012.5,WN,2020-02-08,partly cloudy
2.08,68.42,27.33,1011.92,WN,2020-02-09,partly cloudy
2.42,67.08,27.75,1010.83,NE,2020-02-10,partly cloudy
2.42,66.5,28.17,1010.58,WN,2020-02-11,partly cloudy
2.25,64.67,28.58,1012.08,S,2020-02-12,partly cloudy
2.9,64.42,28.33,1012.42,WN,2020-02-13,partly cloudy
2.9,66.83,28.08,1011.17,Unknown,2020-02-14,partly cloudy
2.36,65.42,28.42,1010.58,N,2020-02-15,partly cloudy
2.73,67.25,28.25,1011.33,Unknown,2020-02-16,partly cloudy
3.0,65.67,28.67,1011.58,N,2020-02-17,partly cloudy
2.64,64.42,28.33,1011.92,Unknown,2020-02-18,partly cloudy
2.83,64.83,28.0,1011.5,W,2020-02-19,partly cloudy
2.42,64.83,27.83,1010.67,S,2020-02-20,partly cloudy
2.91,68.17,28.0,1011.58,W,2020-02-21,partly cloudy
2.55,67.92,28.83,1012.42,N,2020-02-22,partly cloudy
2.64,65.58,28.83,1012.25,ES,2020-02-23,partly cloudy
2.58,66.0,28.42,1010.08,N,2020-02-24,partly cloudy
2.91,68.67,28.33,1009.58,W,2020-02-25,partly cloudy
2.67,66.0,28.75,1009.42,WN,2020-02-26,partly cloudy
2.75,69.08,29.0,1009.83,SW,2020-02-27,partly cloudy
2.67,67.25,29.25,1008.42,N,2020-02-28,partly cloudy
2.67,65.5,29.17,1009.0,SW,2020-02-29,partly cloudy
2.44,65.11,29.78,1009.11,Unknown,2020-03-01,partly cloudy
3.0,69.33,28.42,1010.58,N,2020-03-02,partly cloudy
2.64,68.08,28.42,1010.75,Unknown,2020-03-03,partly cloudy
3.09,65.83,29.0,1009.92,WN,2020-03-04,partly cloudy
3.17,63.67,28.83,1009.25,WN,2020-03-05,partly cloudy
2.7,66.0,28.4,1009.8,WN,2020-03-06,partly cloudy
2.6,65.75,28.58,1010.92,W,2020-03-07,partly cloudy
2.5,65.58,28.83,1010.42,Unknown,2020-03-08,partly cloudy
3.2,66.5,28.92,1009.33,ES,2020-03-09,partly cloudy
2.83,65.75,29.42,1009.33,SW,2020-03-10,partly cloudy
2.92,65.33,29.08,1010.17,WN,2020-03-11,partly cloudy
3.17,65.25,28.92,1011.17,N,2020-03-12,partly cloudy
3.18,64.17,29.25,1010.75,S,2020-03-13,partly cloudy
2.92,63.5,29.0,1009.5,WN,2020-03-14,partly cloudy
3.0,65.67,29.17,1009.17,SW,2020-03-15,partly cloudy
2.33,66.42,29.33,1010.25,S,2020-03-16,partly cloudy
3.0,64.0,29.78,1010.78,Unknown,2020-03-17,partly cloudy
2.82,65.91,29.73,1010.91,S,2020-03-18,partly cloudy
2.58,65.75,29.83,1010.83,S,2020-03-19,partly cloudy
2.75,69.83,29.67,1010.92,WN,2020-03-20,partly cloudy
2.82,68.92,29.67,1010.0,Unknown,2020-03-21,partly cloudy
2.9,68.08,29.5,1010.58,ES,2020-03-22,partly cloudy
2.55,69.5,29.33,1009.75,N,2020-03-23,partly cloudy
2.92,69.33,29.08,1008.5,NE,2020-03-24,partly cloudy
1.5,76.67,27.67,1008.33,WN,2020-03-25,unknown
,,,,Unknown,2020-03-26,unknown
,,,,Unknown,2020-03-27,unknown
2.5,60.5,31.5,1009.5,Unknown,2020-03-28,unknown
3.5,64.5,31.5,1009.0,Unknown,2020-03-29,unknown
3.5,62.5,32.0,1009.5,Unknown,2020-03-30,unknown
4.0,50.0,36.0,1008.0,Unknown,2020-03-31,unknown
,,,,Unknown,2020-04-01,unknown
,,,,Unknown,2020-04-02,unknown
,,,,Unknown,2020-04-03,unknown
5.0,56.0,35.0,1008.0,Unknown,2020-04-04,unknown
