,speed,humidity,temperature,pressure,weather_condition
2023-01-01,2.42,67.33,25.5,1013.5,sunny
2023-01-02,2.5,68.83,24.83,1013.92,sunny
2023-01-03,2.33,68.58,25.25,1012.75,sunny
2023-01-04,2.17,64.5,25.5,1012.67,sunny
2023-01-05,2.08,67.83,25.33,1013.33,sunny
2023-01-06,1.83,68.42,25.5,1013.0,sunny
2023-01-07,2.5,69.08,25.75,1012.42,sunny
2023-01-08,2.25,71.33,25.83,1013.25,cloudy
2023-01-09,2.17,65.08,25.58,1012.83,sunny
2023-01-10,2.58,62.75,24.25,1011.92,sunny
2023-01-11,2.33,66.25,24.17,1011.0,sunny
2023-01-12,2.25,72.25,24.17,1011.67,cloudy
2023-01-13,3.08,70.08,24.08,1011.33,cloudy
2023-01-14,2.08,64.08,22.83,926.33,unknown
2023-01-15,2.58,68.42,25.0,1010.75,sunny
2023-01-16,2.08,67.33,25.25,1011.42,sunny
2023-01-17,2.17,67.5,25.42,1012.0,sunny
2023-01-18,2.5,62.83,25.17,1012.5,sunny
2023-01-19,2.92,57.5,24.92,1012.25,sunny
2023-01-20,2.58,62.5,24.75,1011.83,sunny
2023-01-21,2.17,64.25,25.08,1010.58,sunny
2023-01-22,1.83,61.42,26.0,1009.58,sunny
2023-01-23,1.92,75.42,25.5,1010.67,cloudy
2023-01-24,2.33,79.58,25.17,1010.25,cloudy
2023-01-25,2.0,72.17,26.0,1010.0,cloudy
2023-01-26,2.25,69.08,26.0,1009.92,sunny
2023-01-27,1.92,70.5,25.67,1009.75,cloudy
2023-01-28,2.58,67.5,25.25,1008.58,sunny
2023-01-29,2.42,67.75,25.42,1010.0,sunny
2023-01-30,2.58,72.5,26.33,1009.67,cloudy
2023-01-31,1.92,44.42,21.0,756.5,unknown
2023-02-01,1.75,68.17,26.5,1009.33,sunny
2023-02-02,4.17,68.67,26.17,1009.92,sunny
2023-02-03,2.08,68.33,26.75,1009.42,sunny
2023-02-04,2.0,72.5,26.83,1009.0,cloudy
2023-02-05,2.83,69.33,26.67,1009.92,sunny
2023-02-06,2.33,69.25,26.33,1010.33,sunny
